country,date,elo_rating
Albania,2025-11-16 00:00:00,1664
Algeria,2025-06-10 00:00:00,1704
Algeria,2025-11-18 00:00:00,1718
Algeria,2025-12-06 00:00:00,1714
Algeria,2025-12-09 00:00:00,1736
Algeria,2025-12-12 00:00:00,1726
Algeria,2025-12-24 00:00:00,1735
Algeria,2025-12-28 00:00:00,1749
Algeria,2025-12-31 00:00:00,1757
Algeria,2026-01-06 00:00:00,1775
Algeria,2026-01-10 00:00:00,1728
Algeria,2026-03-27 00:00:00,1739
Algeria,2026-03-31 00:00:00,1743
Algeria,2026-06-30 00:00:00,1767
Algeria,2026-07-04 00:00:00,1764
Algeria,2026-07-12,1763
Andorra,2025-06-07 00:00:00,1066
Andorra,2025-09-06 00:00:00,1066
Angola,2025-11-14 00:00:00,1566
Angola,2025-12-22 00:00:00,1550
Angola,2025-12-29 00:00:00,1543
Argentina,2025-03-25 00:00:00,2141
Argentina,2025-06-05 00:00:00,2146
Argentina,2025-06-10 00:00:00,2132
Argentina,2025-09-04 00:00:00,2136
Argentina,2025-09-09 00:00:00,2109
Argentina,2025-10-10 00:00:00,2111
Argentina,2025-10-14 00:00:00,2111
Argentina,2025-11-14 00:00:00,2113
Argentina,2026-03-27 00:00:00,2113
Argentina,2026-03-31 00:00:00,2113
Argentina,2026-06-30 00:00:00,2134
Argentina,2026-07-04 00:00:00,2175
Argentina,2026-07-12,2193
Armenia,2025-09-06 00:00:00,1384
Armenia,2025-11-16 00:00:00,1389
Australia,2025-06-05 00:00:00,1758
Australia,2025-06-10 00:00:00,1775
Australia,2025-09-05 00:00:00,1778
Australia,2025-09-09 00:00:00,1790
Australia,2025-10-10 00:00:00,1803
Australia,2025-10-14 00:00:00,1793
Australia,2025-11-14 00:00:00,1781
Australia,2025-11-18 00:00:00,1773
Australia,2026-03-27 00:00:00,1778
Australia,2026-03-31 00:00:00,1782
Australia,2026-06-30 00:00:00,1791
Australia,2026-07-04 00:00:00,1794
Australia,2026-07-12,1795
Austria,2025-06-07 00:00:00,1845
Austria,2025-06-10 00:00:00,1845
Austria,2025-09-06 00:00:00,1846
Austria,2025-09-09 00:00:00,1855
Austria,2025-10-09 00:00:00,1855
Austria,2025-10-12 00:00:00,1829
Austria,2025-11-15 00:00:00,1834
Austria,2025-11-18 00:00:00,1818
Austria,2026-03-27 00:00:00,1821
Austria,2026-03-31 00:00:00,1827
Austria,2026-06-30 00:00:00,1829
Austria,2026-07-04 00:00:00,1815
Austria,2026-07-12,1812
Azerbaijan,2025-10-10 00:00:00,1366
Azerbaijan,2025-11-16 00:00:00,1339
Bahrain,2025-09-03 00:00:00,1453
Bahrain,2025-12-03 00:00:00,1400
Bahrain,2025-12-06 00:00:00,1389
Belarus,2025-09-08 00:00:00,1475
Belarus,2025-10-12 00:00:00,1464
Belgium,2025-06-06 00:00:00,1836
Belgium,2025-06-09 00:00:00,1846
Belgium,2025-09-04 00:00:00,1847
Belgium,2025-09-07 00:00:00,1850
Belgium,2025-10-10 00:00:00,1835
Belgium,2025-10-13 00:00:00,1864
Belgium,2025-11-15 00:00:00,1849
Belgium,2025-11-18 00:00:00,1849
Belgium,2026-03-28 00:00:00,1866
Belgium,2026-03-31 00:00:00,1866
Belgium,2026-06-30 00:00:00,1853
Belgium,2026-07-04 00:00:00,1904
Belgium,2026-07-12,1897
Benin,2025-12-23 00:00:00,1421
Benin,2025-12-30 00:00:00,1428
Benin,2026-01-05 00:00:00,1410
Bermuda,2025-09-09 00:00:00,1150
Bermuda,2025-11-13 00:00:00,1103
Bermuda,2026-03-25 00:00:00,1119
Bolivia,2025-09-04 00:00:00,1657
Bolivia,2025-09-09 00:00:00,1689
Bolivia,2025-11-14 00:00:00,1681
Bolivia,2025-11-18 00:00:00,1676
Bolivia,2026-01-18 00:00:00,1665
Bolivia,2026-01-25 00:00:00,1657
Bolivia,2026-03-31 00:00:00,1645
Bosnia and Herzegovina,2025-06-07 00:00:00,1526
Bosnia and Herzegovina,2025-06-10 00:00:00,1523
Bosnia and Herzegovina,2025-09-06 00:00:00,1526
Bosnia and Herzegovina,2025-09-09 00:00:00,1517
Bosnia and Herzegovina,2025-10-09 00:00:00,1511
Bosnia and Herzegovina,2025-10-12 00:00:00,1521
Bosnia and Herzegovina,2025-11-15 00:00:00,1556
Bosnia and Herzegovina,2025-11-18 00:00:00,1572
Bosnia and Herzegovina,2026-03-26 00:00:00,1584
Bosnia and Herzegovina,2026-03-31 00:00:00,1594
Bosnia and Herzegovina,2026-06-30 00:00:00,1616
Bosnia and Herzegovina,2026-07-04 00:00:00,1623
Bosnia and Herzegovina,2026-07-12,1625
Botswana,2025-12-23 00:00:00,1312
Botswana,2025-12-30 00:00:00,1285
Brazil,2025-03-25 00:00:00,1993
Brazil,2025-06-05 00:00:00,1994
Brazil,2025-06-10 00:00:00,2001
Brazil,2025-09-04 00:00:00,2007
Brazil,2025-09-09 00:00:00,1975
Brazil,2025-10-10 00:00:00,1989
Brazil,2025-10-14 00:00:00,1978
Brazil,2025-11-15 00:00:00,1986
Brazil,2025-11-18 00:00:00,1978
Brazil,2026-03-26 00:00:00,1970
Brazil,2026-03-31 00:00:00,1984
Brazil,2026-06-30 00:00:00,2012
Brazil,2026-07-04 00:00:00,2009
Brazil,2026-07-12,2011
Bulgaria,2025-09-04 00:00:00,1450
Bulgaria,2025-10-11 00:00:00,1429
Bulgaria,2025-10-14 00:00:00,1428
Bulgaria,2025-11-15 00:00:00,1425
Burkina Faso,2025-12-28 00:00:00,1551
Burkina Faso,2026-01-06 00:00:00,1534
Cameroon,2025-09-09 00:00:00,1579
Cameroon,2025-11-13 00:00:00,1559
Cameroon,2025-12-28 00:00:00,1581
Cameroon,2026-01-04 00:00:00,1616
Cameroon,2026-01-09 00:00:00,1606
Cameroon,2026-03-27 00:00:00,1601
Canada,2025-06-21 00:00:00,1778
Canada,2025-06-24 00:00:00,1784
Canada,2025-06-29 00:00:00,1768
Canada,2025-09-05 00:00:00,1786
Canada,2025-09-09 00:00:00,1797
Canada,2025-10-10 00:00:00,1784
Canada,2025-10-14 00:00:00,1789
Canada,2025-11-13 00:00:00,1790
Canada,2025-11-18 00:00:00,1802
Canada,2026-03-28 00:00:00,1794
Canada,2026-03-31 00:00:00,1784
Canada,2026-06-30 00:00:00,1770
Canada,2026-07-04 00:00:00,1750
Canada,2026-07-12,1753
Cape Verde,2025-06-03 00:00:00,1511
Cape Verde,2025-06-08 00:00:00,1518
Cape Verde,2025-09-04 00:00:00,1526
Cape Verde,2025-09-09 00:00:00,1544
Cape Verde,2025-10-08 00:00:00,1543
Cape Verde,2025-10-13 00:00:00,1549
Cape Verde,2025-11-13 00:00:00,1557
Cape Verde,2025-11-17 00:00:00,1561
Cape Verde,2026-03-27 00:00:00,1549
Cape Verde,2026-03-30 00:00:00,1549
Cape Verde,2026-06-30 00:00:00,1600
Cape Verde,2026-07-04 00:00:00,1654
Cape Verde,2026-07-12,1669
Central African Republic,2025-10-08 00:00:00,1217
Chad,2025-09-04 00:00:00,1162
Chile,2025-06-05 00:00:00,1717
